tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-8998,Brisbane,Hard,32,A,20241230,31,208673,2,,Jiri Lehecka,L,192,CZE,23.1,207608,,PR,Reilly Opelka,R,211,USA,27.3,4-6 6-4 6-3,3,F,98,,,,,,,,,,,,,,,,,,,,24,1480,293,169
2025-8998,Brisbane,Hard,32,A,20241230,30,208673,2,,Jiri Lehecka,L,192,CZE,23.1,102338,8,,Tommy Paul,R,185,USA,27.8,6-3 7-6(3),3,SF,109,,,,,,,,,,,,,,,,,,,,24,1480,12,1770
2025-8998,Brisbane,Hard,32,A,20241230,29,207608,,PR,Reilly Opelka,R,211,USA,27.3,103970,4,,Holger Rune,R,185,DEN,21.8,6-3 3-6 6-3,3,SF,132,,,,,,,,,,,,,,,,,,,,293,169,13,1620
2025-8998,Brisbane,Hard,32,A,20241230,28,208673,2,,Jiri Lehecka,L,192,CZE,23.1,105138,6,,Jordan Thompson,R,183,AUS,30.7,7-6(8) 6-3,3,QF,105,,,,,,,,,,,,,,,,,,,,24,1480,27,850
2025-8998,Brisbane,Hard,32,A,20241230,27,102338,8,,Tommy Paul,R,185,USA,27.8,126774,,,Ben Shelton,L,193,USA,22.4,6-3 6-4,3,QF,93,,,,,,,,,,,,,,,,,,,,12,1770,21,1120
2025-8998,Brisbane,Hard,32,A,20241230,26,103970,4,,Holger Rune,R,185,DEN,21.8,207989,,,Alexander Zverev,R,198,GER,27.7,3-6 6-3 6-4,3,QF,134,,,,,,,,,,,,,,,,,,,,13,1620,2,7915
2025-8998,Brisbane,Hard,32,A,20241230,25,207608,,PR,Reilly Opelka,R,211,USA,27.3,106299,,,Giovanni Mpetshi Perricard,R,196,FRA,21.4,6-2 6-7(4) 7-6(2),3,QF,147,,,,,,,,,,,,,,,,,,,,293,169,30,595
2025-8998,Brisbane,Hard,32,A,20241230,24,208673,2,,Jiri Lehecka,L,192,CZE,23.1,104545,1,,Novak Djokovic,R,188,SRB,37.7,6-4 6-2,3,R16,78,,,,,,,,,,,,,,,,,,,,24,1480,7,2300
2025-8998,Brisbane,Hard,32,A,20241230,23,105138,6,,Jordan Thompson,R,183,AUS,30.7,207421,3,,Ben Shelton,L,193,USA,22.4,7-5 6-3,3,R16,95,,,,,,,,,,,,,,,,,,,,27,850,21,1120
2025-8998,Brisbane,Hard,32,A,20241230,22,126774,,,Ben Shelton,L,193,USA,22.4,111577,,,Cameron Norrie,R,185,GBR,29.3,6-2 7-6(4),3,R16,99,,,,,,,,,,,,,,,,,,,,21,1120,49,450
2025-8998,Brisbane,Hard,32,A,20241230,21,102338,8,,Tommy Paul,R,185,USA,27.8,106421,5,,Frances Tiafoe,R,188,USA,27.1,4-6 6-3 6-2,3,R16,112,,,,,,,,,,,,,,,,,,,,12,1770,17,1250
2025-8998,Brisbane,Hard,32,A,20241230,20,103970,4,,Holger Rune,R,185,DEN,21.8,144895,,,David Goffin,R,180,BEL,34.6,6-3 2-6 6-3,3,R16,126,,,,,,,,,,,,,,,,,,,,13,1620,53,425
2025-8998,Brisbane,Hard,32,A,20241230,19,207989,,,Alexander Zverev,R,198,GER,27.7,207822,7,,Sebastian Korda,R,196,USA,24.6,7-5 6-1,3,R16,88,,,,,,,,,,,,,,,,,,,,2,7915,22,1075
2025-8998,Brisbane,Hard,32,A,20241230,18,106299,,,Giovanni Mpetshi Perricard,R,196,FRA,21.4,106058,,,Gael Monfils,R,193,FRA,38.8,6-3 6-1,3,R16,67,,,,,,,,,,,,,,,,,,,,30,595,51,435
2025-8998,Brisbane,Hard,32,A,20241230,17,207608,,PR,Reilly Opelka,R,211,USA,27.3,144827,,,Matteo Arnaldi,R,185,ITA,23.6,3-6 7-6(6) 6-3,3,R16,134,,,,,,,,,,,,,,,,,,,,293,169,36,550
2025-8998,Brisbane,Hard,32,A,20241230,16,104545,1,,Novak Djokovic,R,188,SRB,37.7,200240,,,James Duckworth,R,183,AUS,33.2,6-3 6-3,3,R32,80,,,,,,,,,,,,,,,,,,,,7,2300,69,365
2025-8998,Brisbane,Hard,32,A,20241230,15,208673,2,,Jiri Lehecka,L,192,CZE,23.1,200240,,,James Duckworth,R,183,AUS,33.2,7-6(4) 6-2,3,R32,108,,,,,,,,,,,,,,,,,,,,24,1480,69,365
2025-8998,Brisbane,Hard,32,A,20241230,14,207421,3,,Ben Shelton,L,193,USA,22.4,105260,,,Lorenzo Sonego,L,188,ITA,29.8,4-6 7-6(5) 6-3,3,R32,145,,,,,,,,,,,,,,,,,,,,21,1120,56,415
2025-8998,Brisbane,Hard,32,A,20241230,13,105138,6,,Jordan Thompson,R,183,AUS,30.7,105223,,,Aleksandar Vukic,R,188,AUS,29.1,6-3 7-6(5),3,R32,94,,,,,,,,,,,,,,,,,,,,27,850,61,385
2025-8998,Brisbane,Hard,32,A,20241230,12,126774,,,Ben Shelton,L,193,USA,22.4,105838,,,Alexei Popyrin,R,196,AUS,25.9,7-6(5) 6-4,3,R32,101,,,,,,,,,,,,,,,,,,,,21,1120,25,865
2025-8998,Brisbane,Hard,32,A,20241230,11,111577,,,Cameron Norrie,R,185,GBR,29.3,208636,,,Pedro Martinez,R,175,ESP,27.7,6-1 6-2,3,R32,75,,,,,,,,,,,,,,,,,,,,49,450,47,470
2025-8998,Brisbane,Hard,32,A,20241230,10,106421,5,,Frances Tiafoe,R,188,USA,27.1,106233,,,Adam Walton,R,183,AUS,25.8,6-4 6-3,3,R32,89,,,,,,,,,,,,,,,,,,,,17,1250,68,365
2025-8998,Brisbane,Hard,32,A,20241230,9,102338,8,,Tommy Paul,R,185,USA,27.8,207989,,,Alexander Zverev,R,198,GER,27.7,6-3 3-6 6-2,3,R32,123,,,,,,,,,,,,,,,,,,,,12,1770,2,7915
2025-8998,Brisbane,Hard,32,A,20241230,8,103970,4,,Holger Rune,R,185,DEN,21.8,200125,,,Thanasi Kokkinakis,R,196,AUS,29.2,6-3 6-2,3,R32,85,,,,,,,,,,,,,,,,,,,,13,1620,77,345
2025-8998,Brisbane,Hard,32,A,20241230,7,144895,,,David Goffin,R,180,BEL,34.6,200059,,,Christopher O'Connell,R,180,AUS,30.6,7-6(2) 6-4,3,R32,102,,,,,,,,,,,,,,,,,,,,53,425,64,375
2025-8998,Brisbane,Hard,32,A,20241230,6,207989,,,Alexander Zverev,R,198,GER,27.7,200300,,,Rinky Hijikata,L,175,AUS,24.2,6-2 6-4,3,R32,76,,,,,,,,,,,,,,,,,,,,2,7915,171,205
2025-8998,Brisbane,Hard,32,A,20241230,5,207822,7,,Sebastian Korda,R,196,USA,24.6,200644,,,Yannick Hanfmann,R,188,GER,33.8,6-2 6-1,3,R32,64,,,,,,,,,,,,,,,,,,,,22,1075,91,315
2025-8998,Brisbane,Hard,32,A,20241230,4,106058,,,Gael Monfils,R,193,FRA,38.8,208618,,,Jannik Sinner,R,188,ITA,23.4,6-7(4) 6-4 6-3,3,R32,145,,,,,,,,,,,,,,,,,,,,51,435,1,11830
2025-8998,Brisbane,Hard,32,A,20241230,3,106299,,,Giovanni Mpetshi Perricard,R,196,FRA,21.4,200240,,,James Duckworth,R,183,AUS,33.2,6-2 7-6(4),3,R32,89,,,,,,,,,,,,,,,,,,,,30,595,69,365
2025-8998,Brisbane,Hard,32,A,20241230,2,144827,,,Matteo Arnaldi,R,185,ITA,23.6,200125,,,Thanasi Kokkinakis,R,196,AUS,29.2,6-3 6-1,3,R32,75,,,,,,,,,,,,,,,,,,,,36,550,77,345
2025-8998,Brisbane,Hard,32,A,20241230,1,207608,,PR,Reilly Opelka,R,211,USA,27.3,200644,,,Yannick Hanfmann,R,188,GER,33.8,7-6(5) 3-6 6-3,3,R32,127,,,,,,,,,,,,,,,,,,,,293,169,91,315
2025-339,Adelaide,Hard,32,A,20250106,31,129954,5,,Felix Auger-Aliassime,R,193,CAN,24.4,207421,8,,Ben Shelton,L,193,USA,22.4,6-3 6-4,3,F,92,,,,,,,,,,,,,,,,,,,,29,665,21,1120
2025-339,Adelaide,Hard,32,A,20250106,30,129954,5,,Felix Auger-Aliassime,R,193,CAN,24.4,105138,6,,Jordan Thompson,R,183,AUS,30.7,6-1 6-4,3,SF,84,,,,,,,,,,,,,,,,,,,,29,665,27,850
2025-339,Adelaide,Hard,32,A,20250106,29,207421,8,,Ben Shelton,L,193,USA,22.4,106421,2,,Frances Tiafoe,R,188,USA,27.1,6-4 6-7(6) 6-3,3,SF,143,,,,,,,,,,,,,,,,,,,,21,1120,17,1250
2025-339,Adelaide,Hard,32,A,20250106,28,129954,5,,Felix Auger-Aliassime,R,193,CAN,24.4,207989,1,,Alexander Zverev,R,198,GER,27.7,7-6(5) 6-3,3,QF,108,,,,,,,,,,,,,,,,,,,,29,665,2,7915
2025-339,Adelaide,Hard,32,A,20250106,27,105138,6,,Jordan Thompson,R,183,AUS,30.7,200059,,,Christopher O'Connell,R,180,AUS,30.6,4-6 6-4 7-6(4),3,QF,142,,,,,,,,,,,,,,,,,,,,27,850,64,375
2025-339,Adelaide,Hard,32,A,20250106,26,106421,2,,Frances Tiafoe,R,188,USA,27.1,144827,3,,Matteo Arnaldi,R,185,ITA,23.6,6-4 6-7(4) 6-3,3,QF,135,,,,,,,,,,,,,,,,,,,,17,1250,36,550
2025-339,Adelaide,Hard,32,A,20250106,25,207421,8,,Ben Shelton,L,193,USA,22.4,103970,4,,Holger Rune,R,185,DEN,21.8,6-2 6-4,3,QF,87,,,,,,,,,,,,,,,,,,,,21,1120,13,1620
2025-339,Adelaide,Hard,32,A,20250106,24,207989,1,,Alexander Zverev,R,198,GER,27.7,200125,,,Thanasi Kokkinakis,R,196,AUS,29.2,6-3 7-6(4),3,R16,96,,,,,,,,,,,,,,,,,,,,2,7915,77,345
2025-339,Adelaide,Hard,32,A,20250106,23,129954,5,,Felix Auger-Aliassime,R,193,CAN,24.4,106299,7,,Giovanni Mpetshi Perricard,R,196,FRA,21.4,6-4 6-2,3,R16,79,,,,,,,,,,,,,,,,,,,,29,665,30,595
2025-339,Adelaide,Hard,32,A,20250106,22,105138,6,,Jordan Thompson,R,183,AUS,30.7,200240,,,James Duckworth,R,183,AUS,33.2,7-6(3) 6-3,3,R16,98,,,,,,,,,,,,,,,,,,,,27,850,69,365
2025-339,Adelaide,Hard,32,A,20250106,21,200059,,,Christopher O'Connell,R,180,AUS,30.6,208673,,,Jiri Lehecka,L,192,CZE,23.1,7-6(5) 6-4,3,R16,112,,,,,,,,,,,,,,,,,,,,64,375,24,1480
2025-339,Adelaide,Hard,32,A,20250106,20,144827,3,,Matteo Arnaldi,R,185,ITA,23.6,105838,,,Alexei Popyrin,R,196,AUS,25.9,6-3 6-4,3,R16,89,,,,,,,,,,,,,,,,,,,,36,550,25,865
2025-339,Adelaide,Hard,32,A,20250106,19,106421,2,,Frances Tiafoe,R,188,USA,27.1,105260,,,Lorenzo Sonego,L,188,ITA,29.8,6-4 6-2,3,R16,83,,,,,,,,,,,,,,,,,,,,17,1250,56,415
2025-339,Adelaide,Hard,32,A,20250106,18,103970,4,,Holger Rune,R,185,DEN,21.8,102338,,,Tommy Paul,R,185,USA,27.8,6-3 3-6 6-2,3,R16,114,,,,,,,,,,,,,,,,,,,,13,1620,12,1770
2025-339,Adelaide,Hard,32,A,20250106,17,207421,8,,Ben Shelton,L,193,USA,22.4,208636,,,Pedro Martinez,R,175,ESP,27.7,6-4 7-6(2),3,R16,105,,,,,,,,,,,,,,,,,,,,21,1120,47,470
2025-339,Adelaide,Hard,32,A,20250106,16,207989,1,,Alexander Zverev,R,198,GER,27.7,200644,,,Yannick Hanfmann,R,188,GER,33.8,6-1 6-2,3,R32,65,,,,,,,,,,,,,,,,,,,,2,7915,91,315
2025-339,Adelaide,Hard,32,A,20250106,15,200125,,,Thanasi Kokkinakis,R,196,AUS,29.2,144895,,,David Goffin,R,180,BEL,34.6,6-3 6-4,3,R32,92,,,,,,,,,,,,,,,,,,,,77,345,53,425
2025-339,Adelaide,Hard,32,A,20250106,14,106299,7,,Giovanni Mpetshi Perricard,R,196,FRA,21.4,106233,,,Adam Walton,R,183,AUS,25.8,6-4 7-6(4),3,R32,93,,,,,,,,,,,,,,,,,,,,30,595,68,365
2025-339,Adelaide,Hard,32,A,20250106,13,129954,5,,Felix Auger-Aliassime,R,193,CAN,24.4,200300,,,Rinky Hijikata,L,175,AUS,24.2,6-2 6-3,3,R32,74,,,,,,,,,,,,,,,,,,,,29,665,171,205
2025-339,Adelaide,Hard,32,A,20250106,12,200240,,,James Duckworth,R,183,AUS,33.2,111577,,,Cameron Norrie,R,185,GBR,29.3,6-4 7-6(3),3,R32,104,,,,,,,,,,,,,,,,,,,,69,365,49,450
2025-339,Adelaide,Hard,32,A,20250106,11,105138,6,,Jordan Thompson,R,183,AUS,30.7,105223,,,Aleksandar Vukic,R,188,AUS,29.1,6-2 6-4,3,R32,81,,,,,,,,,,,,,,,,,,,,27,850,61,385
2025-339,Adelaide,Hard,32,A,20250106,10,200059,,,Christopher O'Connell,R,180,AUS,30.6,106058,,,Gael Monfils,R,193,FRA,38.8,6-3 6-4,3,R32,96,,,,,,,,,,,,,,,,,,,,64,375,51,435
2025-339,Adelaide,Hard,32,A,20250106,9,208673,,,Jiri Lehecka,L,192,CZE,23.1,207822,,,Sebastian Korda,R,196,USA,24.6,7-5 6-2,3,R32,87,,,,,,,,,,,,,,,,,,,,24,1480,22,1075
2025-339,Adelaide,Hard,32,A,20250106,8,105838,,,Alexei Popyrin,R,196,AUS,25.9,208618,,,Jannik Sinner,R,188,ITA,23.4,6-4 7-6(4),3,R32,106,,,,,,,,,,,,,,,,,,,,25,865,1,11830
2025-339,Adelaide,Hard,32,A,20250106,7,144827,3,,Matteo Arnaldi,R,185,ITA,23.6,126774,,,Ben Shelton,L,193,USA,22.4,6-3 6-1,3,R32,68,,,,,,,,,,,,,,,,,,,,36,550,21,1120
2025-339,Adelaide,Hard,32,A,20250106,6,105260,,,Lorenzo Sonego,L,188,ITA,29.8,104545,,,Novak Djokovic,R,188,SRB,37.7,4-6 6-1 6-2,3,R32,119,,,,,,,,,,,,,,,,,,,,56,415,7,2300
2025-339,Adelaide,Hard,32,A,20250106,5,106421,2,,Frances Tiafoe,R,188,USA,27.1,208636,,,Pedro Martinez,R,175,ESP,27.7,6-1 6-4,3,R32,78,,,,,,,,,,,,,,,,,,,,17,1250,47,470
2025-339,Adelaide,Hard,32,A,20250106,4,102338,,,Tommy Paul,R,185,USA,27.8,105838,,,Alexei Popyrin,R,196,AUS,25.9,6-2 6-3,3,R32,76,,,,,,,,,,,,,,,,,,,,12,1770,25,865
2025-339,Adelaide,Hard,32,A,20250106,3,103970,4,,Holger Rune,R,185,DEN,21.8,200644,,,Yannick Hanfmann,R,188,GER,33.8,6-4 6-3,3,R32,82,,,,,,,,,,,,,,,,,,,,13,1620,91,315
